[RTREE] This is node 3 at depth: 5, the bounding box is (2,3.8), (2,4.8), leaf: 0, edge: 1
[RTREE] This is node 6 at depth: 4, the bounding box is (2,3.8), (2,6), leaf: 1, edge: 0
[RTREE] This is node 25 at depth: 4, the bounding box is (2,3.8), (2,4.8), leaf: 0, edge: 1
[RTREE] This is node 27 at depth: 4, the bounding box is (2,2.4), (2,3.8), leaf: 0, edge: 1
[RTREE] This is node 26 at depth: 3, the bounding box is (2,2.4), (2,6), leaf: 1, edge: 0
[RTREE] This is node 39 at depth: 2, the bounding box is (2,2.4), (2,6), leaf: 1, edge: 0
[RTREE] This is node 61 at depth: 3, the bounding box is (2,3.8), (3.5,3.8), leaf: 0, edge: 1
[RTREE] This is node 37 at depth: 4, the bounding box is (3.5,2.4), (3.5,3.8), leaf: 0, edge: 1
[RTREE] This is node 21 at depth: 4, the bounding box is (3.2,1.2), (3.5,2.4), leaf: 0, edge: 1
[RTREE] This is node 41 at depth: 4, the bounding box is (3.2,1.2), (3.5,2.4), leaf: 0, edge: 1
[RTREE] This is node 33 at depth: 3, the bounding box is (3.2,1.2), (3.5,3.8), leaf: 1, edge: 0
[RTREE] This is node 32 at depth: 4, the bounding box is (2,2.4), (2,3.8), leaf: 0, edge: 1
[RTREE] This is node 28 at depth: 4, the bounding box is (2,3.8), (3.5,3.8), leaf: 0, edge: 1
[RTREE] This is node 34 at depth: 4, the bounding box is (2,2.4), (3.5,2.4), leaf: 0, edge: 1
[RTREE] This is node 35 at depth: 4, the bounding box is (2,2.4), (3.5,2.4), leaf: 0, edge: 1
[RTREE] This is node 19 at depth: 3, the bounding box is (2,2.4), (3.5,3.8), leaf: 1, edge: 0
[RTREE] This is node 43 at depth: 2, the bounding box is (2,1.2), (3.5,3.8), leaf: 1, edge: 0
[RTREE] This is node 68 at depth: 1, the bounding box is (2,1.2), (3.5,6), leaf: 1, edge: 0
[RTREE] This is node 69 at depth: 0, the bounding box is (2,1.2), (7.2,6), leaf: 0, edge: 0
